date,daily_kwh,maxtempC,mintempC,avgtempC,humidity,sunHour,uvIndex,windspeedKmph,pressure,winddirDegree,visibility,cloudcover,HeatIndexC,WindChillC,WindGustKmph,FeelsLikeC,month,month_day,week_day,season,is_weekend,is_holiday
2025-01-01,37.496,12.0,2.0,7.0,61.0,11.0,3.0,9.0,1024.0,108.0,10.0,3.0,7.0,5.0,13.0,5.0,1,1,2,1,0,1
2025-01-02,36.7577,14.0,5.0,9.0,65.0,11.0,2.0,8.0,1025.0,58.0,10.0,13.0,9.0,7.0,13.0,7.0,1,2,3,1,0,0
2025-01-03,36.9381,12.0,3.0,7.0,60.0,10.0,2.0,10.0,1028.0,75.0,10.0,14.0,7.0,5.0,15.0,5.0,1,3,4,1,0,0
2025-01-04,38.3759,12.0,3.0,7.0,56.0,11.0,3.0,11.0,1027.0,111.0,10.0,35.0,7.0,5.0,16.0,5.0,1,4,5,1,1,0
2025-01-05,38.4979,14.0,6.0,9.0,61.0,9.0,2.0,10.0,1023.0,269.0,10.0,40.0,9.0,8.0,15.0,8.0,1,5,6,1,1,0
2025-01-06,37.7577,12.0,4.0,8.0,45.0,11.0,3.0,13.0,1025.0,226.0,10.0,0.0,8.0,6.0,19.0,6.0,1,6,0,1,0,0
2025-01-07,37.2779,9.0,1.0,5.0,36.0,11.0,2.0,10.0,1028.0,277.0,10.0,19.0,5.0,3.0,14.0,3.0,1,7,1,1,0,0
2025-01-08,37.1158,10.0,2.0,6.0,25.0,11.0,2.0,9.0,1027.0,242.0,10.0,57.0,6.0,4.0,14.0,4.0,1,8,2,1,0,0
2025-01-09,37.018,6.0,1.0,3.0,39.0,10.0,1.0,17.0,1033.0,273.0,10.0,29.0,3.0,-0.0,24.0,-0.0,1,9,3,1,0,0
2025-01-10,37.5377,6.0,-2.0,2.0,35.0,10.0,1.0,12.0,1037.0,255.0,10.0,23.0,2.0,-2.0,18.0,-2.0,1,10,4,1,0,0
2025-01-11,38.2558,7.0,-1.0,3.0,27.0,4.0,1.0,7.0,1034.0,296.0,10.0,44.0,3.0,1.0,12.0,1.0,1,11,5,1,1,0
2025-01-12,37.9178,11.0,1.0,5.0,34.0,11.0,1.0,11.0,1029.0,241.0,10.0,13.0,5.0,2.0,18.0,2.0,1,12,6,1,1,0
2025-01-13,36.3775,12.0,2.0,6.0,47.0,7.0,2.0,8.0,1028.0,149.0,10.0,42.0,6.0,5.0,14.0,5.0,1,13,0,1,0,0
2025-01-14,37.3381,15.0,6.0,10.0,55.0,8.0,2.0,9.0,1026.0,112.0,10.0,54.0,10.0,9.0,14.0,9.0,1,14,1,1,0,0
2025-01-15,37.2161,7.0,0.0,4.0,36.0,11.0,2.0,16.0,1035.0,259.0,10.0,17.0,4.0,0.0,25.0,0.0,1,15,2,1,0,0
2025-01-16,37.238,8.0,-2.0,3.0,28.0,9.0,1.0,6.0,1031.0,270.0,10.0,16.0,3.0,1.0,11.0,1.0,1,16,3,1,0,0
2025-01-17,37.5176,10.0,-0.0,4.0,21.0,11.0,2.0,5.0,1029.0,228.0,10.0,10.0,4.0,3.0,10.0,3.0,1,17,4,1,0,0
2025-01-18,38.9756,11.0,2.0,6.0,52.0,11.0,3.0,9.0,1024.0,125.0,10.0,18.0,6.0,4.0,15.0,4.0,1,18,5,1,1,0
2025-01-19,38.8778,15.0,3.0,8.0,47.0,11.0,2.0,7.0,1019.0,222.0,10.0,12.0,8.0,8.0,12.0,8.0,1,19,6,1,1,0
2025-01-20,35.8779,13.0,3.0,8.0,31.0,7.0,2.0,8.0,1020.0,160.0,10.0,35.0,8.0,7.0,13.0,7.0,1,20,0,1,0,0
2025-01-21,34.7575,13.0,2.0,8.0,48.0,9.0,2.0,10.0,1022.0,112.0,10.0,18.0,8.0,6.0,16.0,6.0,1,21,1,1,0,0
2025-01-22,34.8552,15.0,7.0,11.0,68.0,8.0,3.0,18.0,1021.0,132.0,10.0,40.0,11.0,9.0,25.0,9.0,1,22,2,1,0,0
2025-01-23,34.8773,18.0,9.0,12.0,72.0,6.0,3.0,8.0,1020.0,142.0,10.0,69.0,12.0,12.0,15.0,12.0,1,23,3,1,0,0
2025-01-24,35.0372,14.0,9.0,11.0,80.0,1.0,3.0,13.0,1022.0,56.0,10.0,94.0,11.0,10.0,19.0,10.0,1,24,4,1,0,0
2025-01-25,36.1377,11.0,9.0,10.0,61.0,1.0,2.0,15.0,1025.0,39.0,10.0,76.0,10.0,7.0,22.0,7.0,1,25,5,1,1,0
2025-01-26,39.3959,9.0,6.0,7.0,74.0,1.0,2.0,16.0,1027.0,289.0,8.0,94.0,7.0,4.0,22.0,4.0,1,26,6,1,1,0
2025-01-27,38.2579,6.0,1.0,4.0,32.0,11.0,2.0,21.0,1027.0,301.0,10.0,13.0,4.0,-1.0,30.0,-1.0,1,27,0,1,0,0
2025-01-28,37.0775,7.0,-1.0,3.0,25.0,11.0,2.0,15.0,1029.0,292.0,10.0,0.0,3.0,-1.0,23.0,-1.0,1,28,1,1,0,1
2025-01-29,37.4558,9.0,-1.0,4.0,29.0,11.0,2.0,8.0,1029.0,247.0,10.0,1.0,4.0,2.0,13.0,2.0,1,29,2,1,0,1
2025-01-30,38.2975,13.0,2.0,8.0,58.0,11.0,3.0,18.0,1024.0,139.0,10.0,9.0,8.0,5.0,27.0,5.0,1,30,3,1,0,1
2025-01-31,38.6578,14.0,8.0,10.0,85.0,4.0,2.0,11.0,1019.0,230.0,8.0,72.0,10.0,8.0,17.0,8.0,1,31,4,1,0,1
2025-02-01,38.5378,11.0,8.0,9.0,85.0,1.0,2.0,15.0,1020.0,229.0,10.0,100.0,9.0,6.0,25.0,6.0,2,1,5,1,1,0
2025-02-02,38.6558,9.0,5.0,7.0,72.0,3.0,2.0,11.0,1022.0,46.0,9.0,83.0,7.0,6.0,20.0,6.0,2,2,6,1,1,0
2025-02-03,38.6975,9.0,2.0,6.0,51.0,11.0,2.0,15.0,1027.0,269.0,10.0,20.0,6.0,3.0,22.0,3.0,2,3,0,1,0,1
2025-02-04,38.9178,10.0,-1.0,4.0,41.0,10.0,1.0,11.0,1026.0,231.0,10.0,15.0,4.0,3.0,17.0,3.0,2,4,1,1,0,1
2025-02-05,38.0955,11.0,0.0,5.0,38.0,11.0,3.0,14.0,1024.0,229.0,10.0,9.0,5.0,3.0,22.0,3.0,2,5,2,1,0,0
